"","name","pweight_x","pweight_y","pop11","number_lsoa","type","number_oa","imputed_easting","imputed_northing","imputed_type","imputed_error","imputed_osm_nm"
"1434","Whitehill BUASD",425280.489395743,551483.094945009,1558,1,"buasd",NA,425280.489395743,551483.094945009,"Origin",NA,NA
"1435","Whitley Bay BUASD",434473.874973375,572275.310103263,36445,24,"buasd",NA,435771.488410178,572008.805109203,"town",1324.69828384852,"Whitley Bay"
"1436","Whitley BUASD",387586.263083649,166029.991326768,2695,2,"buasd",NA,387586.263083649,166029.991326768,"Origin",NA,NA
"1437","Whitnash BUASD",432435.655828144,263295.611806739,9572,5,"buasd",NA,432221.29898411,263414.170131242,"townhall",244.959043297532,"Whitnash Town Council"
"1438","Whitstable BUASD",611307.518361214,166017.131598512,29545,19,"buasd",NA,610811.211960258,166496.302788365,"town",689.873229524464,"Whitstable"
"1439","Whitworth BUASD",388470.683918858,418220.774935065,7500,4,"buasd",NA,388639.299915442,418674.419618561,"town",483.967822450873,"Whitworth"
"1440","Wickford BUASD",575022.453151604,193193.538158,32768,20,"buasd",NA,574818.620340087,193423.298768313,"town",307.144515012712,"Wickford"
"1441","Wigan BUASD",356107.630271012,405127.563396614,103296,66,"buasd",NA,358586.370199916,405636.072705631,"town",2530.36229668834,"Wigan"
"1442","Willaston BUASD",333126.220775594,377876.02745437,2625,2,"buasd",NA,333126.220775594,377876.02745437,"Origin",NA,NA
"1443","Willenhall BUASD",397253.467435988,300117.550871827,51050,32,"buasd",NA,397253.467435988,300117.550871827,"Origin",NA,NA
"1444","Wilmslow BUASD",384824.297274334,381320.009341531,35508,21,"buasd",NA,384594.867808762,381048.641807316,"town",355.356466521314,"Wilmslow"
"1445","Wilsden BUASD",409160.228755807,436239.399430866,3284,2,"buasd",NA,409160.228755807,436239.399430866,"Origin",NA,NA
"1446","Wimborne Minster BUASD",402362.293977046,100370.45203211,15147,10,"buasd",NA,400988.615619632,99995.4328825002,"town",1423.94929411228,"Wimborne Minster"
"1447","Winchester BUASD",447417.300608019,129516.463421919,44714,28,"buasd",NA,448228.755267556,129328.531537936,"city",832.932804913651,"Winchester"
"1448","Windermere BUASD",341272.036428916,498140.586786723,6384,4,"buasd",NA,341351.679353354,498512.143361932,"town",379.996426291162,"Windermere"
