"","zone","year","country","la","ttwa","pop","inc.n","noninc.n","social.HH","nonsocial.HH","dist_main","dist_nearest","crime","live.in","geo","pm25","work","area"
"75","S01006580",2020,"Scotland","Aberdeen City","Aberdeen",724,28,696,11,411,2008.51031177627,2008.51031177627,3888,1196,6215,2320,19937.60764218,80488.6193594417
"76","S01006581",2020,"Scotland","Aberdeen City","Aberdeen",949,7,942,4,398,2847.90796740823,2847.90796740823,6323,6019,4704,2501,12119.541207918,332826.483811135
"77","S01006582",2020,"Scotland","Aberdeen City","Aberdeen",820,35,785,55,411,1026.57342933334,1026.57342933334,12,722,4563,1664,26612.6742819528,147909.129920165
"78","S01006583",2020,"Scotland","Aberdeen City","Aberdeen",695,33,662,14,390,1364.7229546028,1364.7229546028,2950,1568,5730,1664,23737.6644517181,62367.7851589546
"79","S01006584",2020,"Scotland","Aberdeen City","Aberdeen",612,13,599,15,339,1270.68526015434,1270.68526015434,2961,640,6572,2394.5,26108.8293480213,102059.145950442
"80","S01006585",2020,"Scotland","Aberdeen City","Aberdeen",831,97,734,159,306,1179.50232644866,1179.50232644866,208,394,6171,2394.5,26808.580395407,93610.5512669673
"81","S01006586",2020,"Scotland","Aberdeen City","Aberdeen",1049,85,964,200,450,843.058270704092,843.058270704092,15,286,5174,2394.5,28628.6087581996,291475.406314869
"82","S01006587",2020,"Scotland","Aberdeen City","Aberdeen",571,81,490,90,228,607.024866087513,607.024866087513,16,184,4030,648.5,26710.8607037608,655312.742955821
"83","S01006588",2020,"Scotland","Aberdeen City","Aberdeen",626,38,588,44,294,366.119744535765,366.119744535765,7,77,5881,509.5,27552.4730042577,68119.3269220372
"84","S01006589",2020,"Scotland","Aberdeen City","Aberdeen",680,58,622,104,263,103.477801151765,103.477801151765,89,250,5486,509.5,23675.5204014286,69105.9538710276
"85","S01006590",2020,"Scotland","Aberdeen City","Aberdeen",801,61,740,29,350,902.216796023617,902.216796023617,501,231,5112,1664,26012.8942294526,72413.917235991
"86","S01006591",2020,"Scotland","Aberdeen City","Aberdeen",744,45,699,20,347,1047.62153894221,1047.62153894221,2238,522,6090,1664,23580.1513217988,57532.9022686076
"87","S01006592",2020,"Scotland","Aberdeen City","Aberdeen",742,10,732,4,370,1281.04491063266,1281.04491063266,4431,2855.5,4165,648.5,20163.4172287984,89920.3107690504
"88","S01006593",2020,"Scotland","Aberdeen City","Aberdeen",837,24,813,5,406,1091.84754090624,1091.84754090624,4259,1917,5287,1664,22321.2523083151,72057.7539554137
"89","S01006594",2020,"Scotland","Aberdeen City","Aberdeen",534,17,517,58,287,1814.02082560786,1814.02082560786,3005,2533,6087,3027,18270.8823243821,74960.8624405852
"90","S01006595",2020,"Scotland","Aberdeen City","Aberdeen",956,38,918,32,523,1504.17531515076,1504.17531515076,5654,1991,5624,1664,21433.3594827803,74791.9390000696
"91","S01006596",2020,"Scotland","Aberdeen City","Aberdeen",784,13,771,20,339,1343.94158518649,1343.94158518649,4310,2111,5341,1664,21175.4196597005,127670.946990544
"92","S01006597",2020,"Scotland","Aberdeen City","Aberdeen",530,37,493,19,333,1591.80979956605,1591.80979956605,665,391,6368,1664,21273.7619053455,49618.6029550275
"93","S01006598",2020,"Scotland","Aberdeen City","Aberdeen",1017,10,1007,3,432,1590.35409913908,1590.35409913908,3870,5861.5,3283,3027,18026.599364909,356839.863910407
"94","S01006599",2020,"Scotland","Aberdeen City","Aberdeen",812,90,722,130,369,2855.6957212397,2855.6957212397,2024,1919,4082,1989.5,10921.8752698775,134872.27228198
"95","S01006600",2020,"Scotland","Aberdeen City","Aberdeen",1238,45,1193,122,465,2336.6245202336,2336.6245202336,4375,2801,5801,3027,13832.3334041201,335809.468284009
"96","S01006601",2020,"Scotland","Aberdeen City","Aberdeen",1038,58,980,93,479,1967.61356401556,1967.61356401556,3923,1929,6166,3027,16504.2715405374,122983.282838355
"97","S01006602",2020,"Scotland","Aberdeen City","Aberdeen",896,33,863,4,410,1742.17623554492,1742.17623554492,6677,6407,5266,3027,17566.4560030545,147393.993039846
"98","S01006603",2020,"Scotland","Aberdeen City","Aberdeen",803,126,677,166,219,3850.65602234887,3850.65602234887,1098,2099,3364,4081,6622.07637085271,160940.793583831
"99","S01006604",2020,"Scotland","Aberdeen City","Aberdeen",653,78,575,64,227,3291.34832460338,3291.34832460338,3854,2418,4156,3812,9066.49402996527,144573.532222212
"100","S01006605",2020,"Scotland","Aberdeen City","Aberdeen",781,149,632,196,213,3149.34279516892,3149.34279516892,1276,2105,5966,3812,9945.56949066075,206265.96935386
