"","zone","type","area"
"369","E01000369","lsoa01",266028.651854421
"370","E01000370","lsoa01",325765.061349854
"371","E01000371","lsoa01",231418.075172668
"372","E01000372","lsoa01",229295.0797255
"373","E01000373","lsoa01",89007.6339750005
"374","E01000374","lsoa01",747699.10652655
"375","E01000375","lsoa01",429262.59865839
"376","E01000376","lsoa01",549914.812786946
"377","E01000377","lsoa01",430628.189424319
"378","E01000378","lsoa01",1261764.45467119
"379","E01000379","lsoa01",324178.230940706
"380","E01000380","lsoa01",224827.759895289
"381","E01000381","lsoa01",2056647.28510343
"382","E01000382","lsoa01",584961.301361524
"383","E01000383","lsoa01",2786241.29972043
"384","E01000384","lsoa01",299856.141973006
"385","E01000385","lsoa01",597362.320952105
"386","E01000386","lsoa01",551765.113964385
"387","E01000387","lsoa01",307392.439789558
"388","E01000388","lsoa01",530029.131588403
"389","E01000389","lsoa01",442226.688701075
"390","E01000390","lsoa01",544628.122844727
"391","E01000391","lsoa01",465336.12908782
"392","E01000392","lsoa01",220897.25752543
"393","E01000393","lsoa01",276330.822150854
"394","E01000394","lsoa01",236956.629310835
"395","E01000395","lsoa01",321214.304592341
"396","E01000396","lsoa01",219183.856825955
"397","E01000397","lsoa01",551237.286852568
"398","E01000398","lsoa01",233643.641183047
"399","E01000399","lsoa01",291675.955625979
"400","E01000400","lsoa01",281943.375394803
"401","E01000401","lsoa01",269822.471803102
"402","E01000402","lsoa01",311907.217745069
"403","E01000403","lsoa01",892663.371705101
"404","E01000404","lsoa01",408151.975081103
"405","E01000405","lsoa01",678357.418788726
"406","E01000406","lsoa01",428708.203480626
"407","E01000407","lsoa01",432562.067711808
"408","E01000408","lsoa01",1603848.17867349
"409","E01000409","lsoa01",226656.764945625
"410","E01000410","lsoa01",272557.149327557
"411","E01000411","lsoa01",191125.002085844
"412","E01000412","lsoa01",245177.10739794
"413","E01000413","lsoa01",206867.791191326
"414","E01000414","lsoa01",294521.62334014
"415","E01000415","lsoa01",228547.984191231
"416","E01000416","lsoa01",178441.246899402
"417","E01000417","lsoa01",745379.287707193
"418","E01000418","lsoa01",515477.996671753
"419","E01000419","lsoa01",263758.85739939
"420","E01000420","lsoa01",274494.588779741
"421","E01000421","lsoa01",288556.534987209
"422","E01000422","lsoa01",104207.700004468
"423","E01000423","lsoa01",283251.768629116
"424","E01000424","lsoa01",385734.446881274
"425","E01000425","lsoa01",366939.300400046
"426","E01000426","lsoa01",256038.029423444
"427","E01000427","lsoa01",407248.319220193
"428","E01000428","lsoa01",892950.026475491
"429","E01000429","lsoa01",572424.075435463
"430","E01000430","lsoa01",2430211.17051377
"431","E01000431","lsoa01",146480.657209196
"432","E01000432","lsoa01",460834.66839794
"433","E01000433","lsoa01",311136.657629567
"434","E01000434","lsoa01",1593103.59819518
"435","E01000435","lsoa01",175232.401793452
"436","E01000436","lsoa01",277150.653398363
"437","E01000437","lsoa01",266221.207453572
"438","E01000438","lsoa01",183042.561161753
"439","E01000439","lsoa01",252175.21026593
"440","E01000440","lsoa01",241770.49061217
"441","E01000441","lsoa01",235488.794822068
"442","E01000442","lsoa01",307418.228238333
"443","E01000443","lsoa01",273807.238887411
"444","E01000444","lsoa01",1379742.14467693
"445","E01000445","lsoa01",591143.212884877
"446","E01000446","lsoa01",280064.190327007
"447","E01000447","lsoa01",991533.429910221
"448","E01000448","lsoa01",455587.755829639
"449","E01000449","lsoa01",456689.433203565
"450","E01000450","lsoa01",229105.145079765
"451","E01000451","lsoa01",208397.065342601
"452","E01000452","lsoa01",159332.751529364
"453","E01000453","lsoa01",210378.820142554
"454","E01000454","lsoa01",205357.600209317
"455","E01000455","lsoa01",262945.776494754
"456","E01000456","lsoa01",168846.527835012
"457","E01000457","lsoa01",297822.519043129
"458","E01000458","lsoa01",338499.840681525
"459","E01000459","lsoa01",309972.647237186
"460","E01000460","lsoa01",516051.887409798
"461","E01000461","lsoa01",541197.295598357
"462","E01000462","lsoa01",462971.616584582
"463","E01000463","lsoa01",235924.445126029
"464","E01000464","lsoa01",145364.56585229
"465","E01000465","lsoa01",268254.882717831
"466","E01000466","lsoa01",2563361.30106739
"467","E01000467","lsoa01",288257.945337556
"468","E01000468","lsoa01",831143.911412793
"469","E01000469","lsoa01",379590.710120909
"470","E01000470","lsoa01",360920.242374943
"471","E01000471","lsoa01",138996.884710087
"472","E01000472","lsoa01",432855.867796475
"473","E01000473","lsoa01",173641.62143996
"474","E01000474","lsoa01",196459.375030895
"475","E01000475","lsoa01",312204.210906041
"476","E01000476","lsoa01",227169.956713066
"477","E01000477","lsoa01",385056.333299332
"478","E01000478","lsoa01",192119.177454643
"479","E01000479","lsoa01",314219.685766423
"480","E01000480","lsoa01",297888.432250526
"481","E01000481","lsoa01",254461.555047019
"482","E01000482","lsoa01",341937.647920035
"483","E01000483","lsoa01",225664.386569111
"484","E01000484","lsoa01",311642.394036303
"485","E01000485","lsoa01",177677.885321737
"486","E01000486","lsoa01",744421.632595419
"487","E01000487","lsoa01",307060.000421807
"488","E01000488","lsoa01",162561.901480578
"489","E01000489","lsoa01",319446.134096899
"490","E01000490","lsoa01",132051.546364164
"491","E01000491","lsoa01",371864.734762635
"492","E01000492","lsoa01",158197.674461343
"493","E01000493","lsoa01",187152.606184095
"494","E01000494","lsoa01",219185.285547548
"495","E01000495","lsoa01",171959.113074781
"496","E01000496","lsoa01",140639.670086409
"497","E01000497","lsoa01",301905.180800422
"498","E01000498","lsoa01",284637.073592421
"499","E01000499","lsoa01",527876.295259953
"500","E01000500","lsoa01",100574.587714827
"501","E01000501","lsoa01",160482.254159112
"502","E01000502","lsoa01",376475.91589544
"503","E01000503","lsoa01",405367.274224365
"504","E01000504","lsoa01",145022.338427361
"505","E01000505","lsoa01",156513.681606644
"506","E01000506","lsoa01",293855.893885417
"507","E01000507","lsoa01",231239.130828903
"508","E01000508","lsoa01",228850.051426048
"509","E01000509","lsoa01",129765.512538344
"510","E01000510","lsoa01",175923.833087597
"511","E01000511","lsoa01",168370.735532822
"512","E01000512","lsoa01",152132.350807705
"513","E01000513","lsoa01",167981.483512101
"514","E01000514","lsoa01",156846.844742738
"515","E01000515","lsoa01",382190.138719908
"516","E01000516","lsoa01",246023.4627297
"517","E01000517","lsoa01",229477.856978934
"518","E01000518","lsoa01",500272.735167464
"519","E01000519","lsoa01",733024.716331409
"520","E01000520","lsoa01",242700.602911362
"521","E01000521","lsoa01",141011.372833867
"522","E01000522","lsoa01",143906.159237705
"523","E01000523","lsoa01",140023.056639781
"524","E01000524","lsoa01",157529.613457079
"525","E01000525","lsoa01",156125.194150808
"526","E01000526","lsoa01",138707.055980584
"527","E01000527","lsoa01",126412.143558314
"528","E01000528","lsoa01",111175.116719619
"529","E01000529","lsoa01",206525.684639074
"530","E01000530","lsoa01",175806.269079789
"531","E01000531","lsoa01",107571.05944516
"532","E01000532","lsoa01",102703.692169283
"533","E01000533","lsoa01",186782.079708011
"534","E01000534","lsoa01",153574.837941017
"535","E01000535","lsoa01",188054.018443985
"536","E01000536","lsoa01",333462.420765401
"537","E01000537","lsoa01",186690.852382242
"538","E01000538","lsoa01",398607.632175761
"539","E01000539","lsoa01",284378.481766791
"540","E01000540","lsoa01",375569.688034332
"541","E01000541","lsoa01",243516.970629759
"542","E01000542","lsoa01",231866.438838592
"543","E01000543","lsoa01",196144.608797718
"544","E01000544","lsoa01",71985.2519216954
"545","E01000545","lsoa01",115839.181559759
"546","E01000546","lsoa01",95026.2321216625
"547","E01000547","lsoa01",75730.9341547978
"548","E01000548","lsoa01",108174.064501657
"549","E01000549","lsoa01",111402.280204897
"550","E01000550","lsoa01",142408.259841741
"551","E01000551","lsoa01",136592.69615837
"552","E01000552","lsoa01",86863.2874774758
"553","E01000553","lsoa01",142266.19939783
"554","E01000554","lsoa01",216674.363408001
"555","E01000555","lsoa01",206900.851242348
"556","E01000556","lsoa01",97872.7708391132
"557","E01000557","lsoa01",117221.326212334
"558","E01000558","lsoa01",173701.978812093
"559","E01000559","lsoa01",114207.784982237
"560","E01000560","lsoa01",207555.93198045
"561","E01000561","lsoa01",118113.658515527
"562","E01000562","lsoa01",312288.433543236
"563","E01000563","lsoa01",375131.748934238
"564","E01000564","lsoa01",202712.188154349
"565","E01000565","lsoa01",185648.260078467
"566","E01000566","lsoa01",208887.581264853
"567","E01000567","lsoa01",206205.434304797
"568","E01000568","lsoa01",805366.22085441
"569","E01000569","lsoa01",376874.471668909
"570","E01000570","lsoa01",133389.609749211
"571","E01000571","lsoa01",351785.39390516
"572","E01000572","lsoa01",215294.185806779
"573","E01000573","lsoa01",235604.075567095
"574","E01000574","lsoa01",220392.187031117
"575","E01000575","lsoa01",269875.675368505
"576","E01000576","lsoa01",292449.019281896
"577","E01000577","lsoa01",346016.127171674
"578","E01000578","lsoa01",330304.03320711
"579","E01000579","lsoa01",112798.372602985
"580","E01000580","lsoa01",445472.797255282
"581","E01000581","lsoa01",165862.13957726
"582","E01000582","lsoa01",193464.987710758
"583","E01000583","lsoa01",195279.57766263
"584","E01000584","lsoa01",125872.112316998
"585","E01000585","lsoa01",100418.983848679
"586","E01000586","lsoa01",149493.494706688
"587","E01000587","lsoa01",198020.512125768
"588","E01000588","lsoa01",349972.156321668
"589","E01000589","lsoa01",290850.965591664
"590","E01000590","lsoa01",267027.341377361
"591","E01000591","lsoa01",322543.287223894
"592","E01000592","lsoa01",198012.944354289
"593","E01000593","lsoa01",180771.830653435
"594","E01000594","lsoa01",242818.257770547
"595","E01000595","lsoa01",192078.305466871
"596","E01000596","lsoa01",189739.615298109
"597","E01000597","lsoa01",185136.237432469
"598","E01000598","lsoa01",79615.2403149493
"599","E01000599","lsoa01",87522.6671034249
"600","E01000600","lsoa01",2027079.03033826
"601","E01000601","lsoa01",696434.781946611
"602","E01000602","lsoa01",134072.392291769
"603","E01000603","lsoa01",122750.615236766
"604","E01000604","lsoa01",168973.95208876
"605","E01000605","lsoa01",171543.604720406
"606","E01000606","lsoa01",235666.158002551
"607","E01000607","lsoa01",196203.922953721
"608","E01000608","lsoa01",567730.034466006
"609","E01000609","lsoa01",248171.747259135
"610","E01000610","lsoa01",285817.343040958
"611","E01000611","lsoa01",123039.042178378
"612","E01000612","lsoa01",255912.138887518
"613","E01000613","lsoa01",217607.093441972
"614","E01000614","lsoa01",609167.596397964
"615","E01000615","lsoa01",664610.624823425
"616","E01000616","lsoa01",170636.830299256
"617","E01000617","lsoa01",271252.727555325
"618","E01000618","lsoa01",182483.200716464
"619","E01000619","lsoa01",213217.066327853
"620","E01000620","lsoa01",438996.255755581
"621","E01000621","lsoa01",213581.552959847
"622","E01000622","lsoa01",626123.101151862
"623","E01000623","lsoa01",191300.876550507
"624","E01000624","lsoa01",263669.399670883
"625","E01000625","lsoa01",267701.40839743
"626","E01000626","lsoa01",207402.809681435
"627","E01000627","lsoa01",220799.128083922
"628","E01000628","lsoa01",352375.188179008
"629","E01000629","lsoa01",183181.661004282
"630","E01000630","lsoa01",286132.857535477
"631","E01000631","lsoa01",252895.190829553
"632","E01000632","lsoa01",284724.610324866
"633","E01000633","lsoa01",164670.93943637
"634","E01000634","lsoa01",168592.466531075
"635","E01000635","lsoa01",232512.898451551
"636","E01000636","lsoa01",213111.74085422
"637","E01000637","lsoa01",71806.4691862257
