"","zone","accessA","accessB"
"360","E01008526",473906,7674.15501158148
"361","E01008527",463939,7667.562359487
"362","E01008524",471990,9566.01337740019
"363","E01008525",465101,7229.03095731646
"364","E01008522",419530,4722.53086087056
"365","E01008523",369038,3620.66940888694
"366","E01008520",384729,4501.12096884338
"367","E01008521",422138,4647.69409949771
"368","E01008528",468528,8110.12104561162
"369","E01008529",468788,8687.00674106598
"370","E01008416",416441,5881.04944621147
"371","E01008497",399882,4524.36647276474
"372","E01008496",390479,3857.04505700005
"373","E01008495",412708,4424.32549471662
"374","E01008415",418963,6238.93516439945
"375","E01008494",448792,5932.81771076188
"376","E01008412",513191,19117.0421885411
"377","E01008493",428107,5195.77518947083
"378","E01008413",513947,20802.3117298311
"379","E01008492",491723,8342.42279155241
"380","E01008410",509577,22471.8986430575
"381","E01008491",491916,9139.09113580833
"382","E01008411",505231,24514.4966745575
"383","E01008490",484168,8165.05062181871
"384","E01008418",479337,13807.6369434552
"385","E01008499",465920,7634.64054659348
"386","E01008419",475214,13978.7680565055
"387","E01008498",421403,5519.24208468334
"388","E01020726",265071,1185.1691803198
"389","E01020727",264528,1123.77701245613
"390","E01020724",184740,4945.29313874335
"391","E01020725",231356,804.02949969527
"392","E01020722",187245,6213.86812654202
"393","E01020723",185143,6278.50297120806
"394","E01020720",198578,6664.77903479213
"395","E01020721",202857,6138.42807667494
"396","E01020729",178819,458.010695867265
"397","E01008776",350422,4859.9967657744
"398","E01008777",329184,4693.15834135581
"399","E01008774",344426,5062.92030665452
"400","E01008775",342298,5873.60723435745
"401","E01008772",353447,4633.81490958399
"402","E01008773",341658,4961.068994894
"403","E01008770",292228,4262.95665912257
"404","E01008771",279996,3108.1399207772
"405","E01008778",355913,4739.20980225679
"406","E01008779",256390,5097.46218316472
"407","E01020616",451122,1991.38673597479
"408","E01020697",145247,1491.28993901208
"409","E01020617",428269,1368.01965084341
"410","E01020696",141698,999.270293555933
"411","E01020614",500568,2483.77641614028
"412","E01020695",150780,1064.16362937499
"413","E01020615",478144,2404.53095732508
"414","E01020694",153370,1357.20383788585
"415","E01020612",457892,3411.24722828566
"416","E01020693",189917,5621.10036435925
"417","E01020613",503798,2657.81969512857
"418","E01020692",194973,5508.72711367313
"419","E01020691",214660,3410.9164832685
"420","E01020611",477217,3459.8199700177
"421","E01020690",222206,2971.23339939407
"422","E01020618",405221,1735.88859967041
"423","E01020699",140828,617.402486003834
"424","E01020698",142061,760.399055416602
"425","E01008627",528240,3229.52130009116
"426","E01008624",398178,2371.19264514893
"427","E01008625",422656,2828.47294846775
"428","E01008622",443347,3059.7879892635
"429","E01008621",456894,2516.84350146849
"430","E01008628",520335,3538.73082020473
"431","E01008629",526450,3173.36185840934
"432","E01027546",68165,4253.58470073018
"433","E01027544",67855,1375.6895591997
"434","E01027543",67379,1617.64920860167
"435","E01027540",67185,3521.5605214188
"436","E01027549",68508,2913.72563146349
"437","E01027436",407848,1408.01889248576
"438","E01027437",212804,2200.72006150932
"439","E01027434",389220,1495.68200890036
"440","E01027435",431852,1541.9549280451
"441","E01027432",378989,1527.6103256609
"442","E01027433",380628,1416.93494275422
"443","E01027430",209657,2546.09838188451
"444","E01027438",205713,2306.26775881974
"445","E01027439",226471,1736.94240953899
"446","E01020856",36912,237.290104367168
"447","E01020857",9015,50.0255569844874
"448","E01020854",10140,1703.14722928889
"449","E01020855",10320,1811.99270014589
"450","E01020852",10512,2202.60882363491
"451","E01020853",10670,2091.14268761017
"452","E01020850",117061,1385.67706864901
"453","E01020851",119194,1393.50987172455
"454","E01020858",59386,451.880829958465
"455","E01020859",59729,506.918175167708
"456","E01008866",502079,3785.33851194826
"457","E01008867",551706,6696.29452620055
"458","E01008864",488063,3412.61926801753
"459","E01008865",498756,3776.44613876866
"460","E01008862",504600,3782.05992040887
"461","E01008863",492677,3236.74193593316
"462","E01008860",556385,5286.47374410717
"463","E01008861",505237,3776.98425830601
"464","E01008868",552474,5682.78241761462
"465","E01008869",553153,6019.60726709677
"466","E01012167",224599,4706.36270554151
"467","E01012164",69350,689.626490335307
"468","E01012165",56657,1038.51635775064
"469","E01012162",51525,864.686807084501
"470","E01012163",55658,1137.95301094678
"471","E01012160",62404,1180.60725924557
"472","E01012161",54171,1436.15172016281
"473","E01012168",223187,3975.9793196794
"474","E01012056",222486,10439.0618795367
"475","E01012057",220854,8508.95701022712
"476","E01012054",217536,7523.09502994663
"477","E01012055",216862,8047.15276696297
"478","E01012052",202805,4506.00171083933
"479","E01012053",212967,6844.51657069686
"480","E01012050",208020,7046.96528824563
"481","E01012051",206008,5785.76152028935
"482","E01012058",226272,9181.63127202444
"483","E01012059",226234,10067.7650983022
"484","E01012306",111113,7181.83118476496
"485","E01012307",113963,8660.72553411544
"486","E01012304",103596,9154.54153717176
"487","E01012305",103066,8390.14545142493
"488","E01012302",205204,1430.08765115806
"489","E01012303",204817,1076.65969920184
"490","E01012300",206684,1445.34391207101
"491","E01012301",204131,1477.04089774995
"492","E01008366",488402,17593.8693310026
"493","E01008367",489684,20832.2185220666
"494","E01008364",504301,12595.8262942928
"495","E01008365",504089,14127.9494441746
"496","E01008362",518289,16148.4417151966
"497","E01008363",504941,10467.2083525905
"498","E01008360",515177,12300.6025721411
"499","E01008361",515240,13419.2890686907
"500","E01012309",96815,7459.8287892787
"501","E01008368",490023,19223.4393494878
"502","E01008369",486484,18368.3183772297
"503","E01012266",219492,10808.7858273932
"504","E01012267",218295,11689.3152575405
"505","E01012264",211761,8744.3940709373
"506","E01012262",209900,11250.484828631
"507","E01012260",219694,4468.62544954278
"508","E01012261",219979,5190.60065735698
"509","E01012268",222690,7492.46806672046
"510","E01012269",219220,453.04266135678
"511","E01008256",488443,8537.59174951543
"512","E01008257",505400,14546.0558878062
"513","E01008254",514758,14340.8856209485
"514","E01008255",521898,13453.1758997929
"515","E01008252",528345,16526.9313011316
"516","E01008253",524115,15443.0189935607
"517","E01008250",321790,1691.62155685524
"518","E01008251",534574,14513.7313428229
"519","E01008258",497194,17982.3491771288
"520","E01008259",496993,14098.9909237851
"521","E01020669",114113,1896.52148060392
"522","E01008687",290761,1235.14184250398
"523","E01008606",496987,4114.11942640866
"524","E01008686",305768,1243.97647490303
"525","E01008607",494810,4556.7422470177
"526","E01008685",293060,930.131632899169
"527","E01008604",524780,6678.33739248773
"528","E01008684",374215,1712.84623707378
"529","E01008602",513390,4684.3746667968
"530","E01008683",465174,8103.50620140788
"531","E01008682",455065,5874.37635064178
"532","E01008603",515346,4228.88692253832
"533","E01008600",519401,6243.86955967658
"534","E01008681",449095,5380.19525658359
"535","E01008601",516168,5251.67240317265
"536","E01008680",452259,6373.11675090703
"537","E01008689",478249,3731.87682874476
"538","E01008608",509709,4463.38903947745
"539","E01008688",469159,4007.37650890856
"540","E01008609",489153,4540.87023354714
"541","E01020732",155355,1579.58247022015
"542","E01020733",132604,3760.89694530485
"543","E01020731",183635,1337.87683656008
"544","E01020738",82462,565.283226974996
"545","E01020739",83300,871.670877174273
"546","E01008746",239890,847.841636380692
"547","E01008747",265837,2138.65132035823
"548","E01008744",240287,1132.29195454656
"549","E01008745",243457,1385.81102583917
"550","E01008742",247029,1902.70537856956
"551","E01008743",246992,1449.07357087492
"552","E01008740",260929,7714.00754674246
"553","E01008741",244991,4108.33795181944
"554","E01008748",253062,1971.04010632887
"555","E01008749",300335,3021.74022277698
"556","E01032647",458168,6047.94721076646
"557","E01032648",451837,4902.67510891606
"558","E01008636",426420,3536.64636099587
"559","E01008637",394484,2491.71383781773
"560","E01008634",433121,4004.14631883798
"561","E01008635",441518,4573.84110265085
"562","E01008632",526114,3664.46845838049
"563","E01008633",426454,3179.11920688859
"564","E01008630",519053,3427.27005994292
"565","E01008631",520585,3879.52830626948
"566","E01008638",535731,6756.10912158833
"567","E01008639",535013,6682.82011207321
"568","E01027387",6981,2163.79461051326
"569","E01027386",7067,1338.75747354354
"570","E01027384",2557,208.623405154856
"571","E01027383",2696,329.39536628239
"572","E01027382",7256,60.7104683307167
"573","E01027381",6264,6.54833654418718
"574","E01027380",7527,68.6863708480388
"575","E01027388",7120,1376.78328705681
"576","E01033206",231410,688.244234934166
"577","E01033205",222396,674.776554449634
"578","E01033202",212974,1986.32929912744
"579","E01033203",122555,965.643948986811
"580","E01027554",78333,2077.17432821082
"581","E01027552",115210,1319.86602690338
"582","E01027553",84361,2080.80158031909
"583","E01027550",151955,2266.32397349026
"584","E01027551",133879,2139.44339322092
"585","E01027406",409495,2943.99590758588
"586","E01027487",4409,457.23694488348
"587","E01027407",411855,2648.74594038227
"588","E01027486",4341,475.731958220596
"589","E01027404",353431,3393.66453917529
"590","E01027485",4454,500.51435416403
"591","E01027405",358097,3057.17112375445
"592","E01027484",3964,27.4354442232982
"593","E01027402",308698,2842.12823546777
"594","E01027483",83565,341.440239697353
"595","E01027403",327736,3302.26687239251
"596","E01027482",23473,593.036978468615
"597","E01027400",305244,2072.02177401219
