"","zone","accessA","accessB"
"413","S01000413",9678,157.601074172427
"414","S01000414",8669,154.570874992765
"415","S01000415",4861,280.776531244067
"416","S01000416",24070,127.448051087997
"417","S01000417",20046,497.160060669159
"418","S01000418",4891,51.1055505605097
"419","S01000419",20556,101.935776584672
"420","S01000420",20441,436.317122026147
"421","S01000421",10978,52.0980949093666
"422","S01000422",4792,300.931713079612
"423","S01000423",12258,84.0556929698417
"424","S01000424",24052,119.828026235873
"425","S01000425",13685,128.467469978913
"426","S01000426",11582,37.7244830632099
"427","S01000427",7425,859.771716448328
"428","S01000428",7472,990.231045127194
"429","S01000429",7116,1098.14556593482
"430","S01000430",7444,987.20514565998
"431","S01000431",7002,1504.97283567299
"432","S01000432",6622,995.941370511534
"433","S01000433",7342,1235.21656167843
"434","S01000434",7419,642.178706653903
"435","S01000435",7439,952.090478331699
"436","S01000436",7464,652.357644138786
"437","S01000437",7461,845.940420500634
"438","S01000438",6828,1039.44261939325
"439","S01000439",6811,181.016595453618
"440","S01000440",5675,97.9560448108125
"441","S01000441",4622,79.868986013798
"442","S01000442",7464,71.106682671894
"443","S01000443",11755,34.3528789115301
"444","S01000444",7372,116.97553908774
"445","S01000445",16122,155.157451161229
"446","S01000446",16568,46.7341069865045
"447","S01000447",9199,157.035554956256
"448","S01000448",10398,127.398439875332
"449","S01000449",14926,148.144170970846
"450","S01000450",14547,160.204872866263
"451","S01000451",7589,94.2781456291933
"452","S01000452",7145,68.7894193945343
"453","S01000453",7906,24.6747223153794
"454","S01000454",6694,137.00518226005
"455","S01000455",15983,41.2076065420465
"456","S01000456",4384,370.435095111618
"457","S01000457",5117,1193.48442731398
"458","S01000458",7475,44.7882457027847
"459","S01000459",5137,1061.96988435035
"460","S01000460",5495,1057.10984120551
"461","S01000461",5281,1326.06939319067
"462","S01000462",5561,1131.19512061952
"463","S01000463",12101,918.553509058875
"464","S01000464",5414,59.9767328715546
"465","S01000465",7299,59.7202612515837
"466","S01000466",5366,18.8962973246909
"467","S01000467",11890,945.456345690435
"468","S01000468",6810,33.4369700741547
"469","S01000469",12666,2303.88480699316
"470","S01000470",12879,2356.99489244052
"471","S01000471",14160,149.913274502188
"472","S01000472",12896,2097.34231261509
"473","S01000473",12896,2457.47262683156
"474","S01000474",6976,49.9440825285346
"475","S01000475",12985,2100.59479995255
"476","S01000476",12205,302.571201763863
"477","S01000477",12985,1837.13754705745
"478","S01000478",12802,2939.86267133669
"479","S01000479",12985,2415.13184912624
"480","S01000480",9224,150.572402013254
"481","S01000481",13246,361.751180264768
"482","S01000482",12300,2857.38093560959
"483","S01000483",12968,2743.5393846915
"484","S01000484",12598,3465.13046094481
"485","S01000485",12985,1955.8323638064
"486","S01000486",12520,3483.88461233406
"487","S01000487",12843,3032.04876257357
"488","S01000488",12985,1693.50271803831
"489","S01000489",12894,2607.71871686844
"490","S01000490",12985,1943.77170070315
"491","S01000491",12813,2391.7315564178
"492","S01000492",12891,2351.15521979921
"493","S01000493",4763,136.823443863722
"494","S01000494",12843,2422.81368729286
"495","S01000495",12985,1850.50014602947
"496","S01000496",13057,1101.42011077986
"497","S01000497",5231,171.055005481357
"498","S01000498",14820,460.258785523214
"499","S01000499",14544,516.836905122408
"500","S01000500",14793,525.593589681461
"501","S01000501",14850,539.449344167506
"502","S01000502",6854,81.7866023518086
"503","S01000503",5225,184.621243350606
"504","S01000504",7208,1192.3234729322
"505","S01000505",14186,156.560891135467
"506","S01000506",5888,378.579325314402
"507","S01000507",8703,1213.29732732982
"508","S01000508",6046,79.0414547197967
"509","S01000509",7607,975.54677403535
"510","S01000510",8678,1308.65096226201
"511","S01000511",10152,189.229410067795
"512","S01000512",8765,1000.76814663459
"513","S01000513",9231,166.188012019322
"514","S01000514",5756,187.377815684336
"515","S01000515",16591,69.6535004548898
"516","S01000516",13722,137.647013542437
"517","S01000517",5730,113.616855891745
"518","S01000518",11964,207.845477240925
"519","S01000519",11946,106.846089750612
"520","S01000520",9282,64.9164516894912
"521","S01000521",6386,129.794644890263
"522","S01000522",6998,112.113080709517
"523","S01000523",18965,124.190970102775
"524","S01000524",13505,103.431156820269
"525","S01000525",6513,57.2277283020471
"526","S01000526",8531,44.8923454194009
"527","S01000527",10401,91.0922446479951
"528","S01000528",8674,141.387039470421
"529","S01000529",8376,24.0311973283199
"530","S01000530",10095,144.347054552385
"531","S01000531",8695,33.4068114676671
"532","S01000532",8612,1308.85252422867
"533","S01000533",8998,102.687035811394
"534","S01000534",8134,1311.26585049724
"535","S01000535",8268,840.061700349422
"536","S01000536",7510,136.057395865266
"537","S01000537",9061,68.655956828503
"538","S01000538",7786,1195.21510466709
"539","S01000539",7766,1408.47696262061
"540","S01000540",7892,1030.72514735989
"541","S01000541",7980,1413.99679470634
"542","S01000542",7895,854.504583453705
"543","S01000543",8910,184.567293519497
"544","S01000544",5504,91.5014901858989
"545","S01000545",7725,1008.73919283588
"546","S01000546",7678,656.365740350387
"547","S01000547",8871,174.776650069897
"548","S01000548",6355,255.67426253049
"549","S01000549",8650,1656.81555129498
