"","Data.Zone","Local.Authority.Code","Local.Authority.Name","Total.Population..2001.Census.","Working.Age.Population..men.16.64..women.16.59..2001.Census.","SIMD.Score","SIMD.Rank","Current.Income.domain.score","Number.of.Current.Income.Deprived","Current.Income.domain.rank","Employment.domain.score","Number.of.Employment.Deprived","Employment.domain.rank","Health.domain.score","Health.domain.rank","Education..Skills.and.Training.domain.score","Education..Skills.and.Training.domain.rank","Housing.domain.score","Housing.domain.rank","Geographic.Access.and.Telecommunications.domain.score","Geographic.Access.and.Telecommunications.domain.rank","zone","X.x","accessA","accessB","type.x","X.y","type.y","area","zone_type","ttwa11cd","ttwa11nm","main_dist","main_bua","nearest_dist","nearest_bua","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"33","S01000033",100,"Aberdeen City",796,401,30.72,1535,25.9,206,1088,13.7,55,2724,0.74,1154,0.95,944,24.5,1643,-0.49,4824,"S01000033",33,157705,9305.98204442236,"",69164,"dz01",167137.295951222,"dz01","S22000047","Aberdeen",3124.16944193361,"Aberdeen",3124.16944193361,"Aberdeen","dz01",9.71714,7.558447,5.248371,7.273109,8.72817,8.240809,6.384211,5.79036,2004,"Scotland","Aberdeen City","Aberdeen",796,206,590,3124.16944193361,3124.16944193361,NA,1643,4824,1482,9305.98204442236
"34","S01000034",100,"Aberdeen City",1012,631,7,5388,2.4,24,5936.5,10.1,64,3674,-1.14,6075,-1.98,6449,2.38,6343,0.31,2011,"S01000034",34,157880,2355.934794844,"",69165,"dz01",1934994.03594099,"dz01","S22000047","Aberdeen",5630.99974760465,"Aberdeen",5630.99974760465,"Aberdeen","dz01",7.8030365,6.171724,4.5888115,6.503393,7.7832855,7.8934105,6.242548,5.6046135,2004,"Scotland","Aberdeen City","Aberdeen",1012,24,988,5630.99974760465,5630.99974760465,NA,6343,2011,4381,2355.934794844
"35","S01000035",100,"Aberdeen City",1009,629,19.45,2836,14.3,144,2693,11.4,72,3289,0.02,3147,0.45,2072,16.95,2972,0.33,1940,"S01000035",35,157822,5050.39309956102,"",69166,"dz01",399222.507220444,"dz01","S22000047","Aberdeen",3949.86063343409,"Aberdeen",3949.86063343409,"Aberdeen","dz01",8.478318,6.666103,4.891595,6.761477,8.083685,7.91501,6.663442,5.935733,2004,"Scotland","Aberdeen City","Aberdeen",1009,144,865,3949.86063343409,3949.86063343409,NA,2972,1940,3546.5,5050.39309956102
"36","S01000036",100,"Aberdeen City",744,429,23.16,2314,14.2,106,2700,12.6,54,2999,0.37,2086,0.68,1552,18.23,2670,0.57,1267,"S01000036",36,157745,3814.06598673088,"",69167,"dz01",153282.81750432,"dz01","S22000047","Aberdeen",4433.76374077789,"Aberdeen",4433.76374077789,"Aberdeen","dz01",8.478318,6.666103,4.891595,6.761477,8.083685,7.91501,6.663442,5.935733,2004,"Scotland","Aberdeen City","Aberdeen",744,106,638,4433.76374077789,4433.76374077789,NA,2670,1267,3546.5,3814.06598673088
"37","S01000037",100,"Aberdeen City",800,511,20.86,2626,13.6,109,2815,13.5,69,2780.5,0.4,1973,0.5,1938,21.33,2047,-0.25,4026,"S01000037",37,156898,12641.7183721641,"",69168,"dz01",5408845.97424999,"dz01","S22000047","Aberdeen",3132.24236459879,"Aberdeen",3132.24236459879,"Aberdeen","dz01",9.4279918,7.3356758,5.9504146,8.3524286,9.5717114,8.827025,6.7485718,5.8771436,2004,"Scotland","Aberdeen City","Aberdeen",800,109,691,3132.24236459879,3132.24236459879,NA,2047,4026,1916,12641.7183721641
"38","S01000038",100,"Aberdeen City",861,516,15.43,3543,8.6,74,3993,11.4,59,3292,-0.02,3264,0.41,2187,19.67,2361,-0.23,3945,"S01000038",38,157705,9647.53527874549,"",69169,"dz01",172044.261542153,"dz01","S22000047","Aberdeen",2986.5334079954,"Aberdeen",2986.5334079954,"Aberdeen","dz01",9.71714,7.558447,5.248371,7.273109,8.72817,8.240809,6.384211,5.79036,2004,"Scotland","Aberdeen City","Aberdeen",861,74,787,2986.5334079954,2986.5334079954,NA,2361,3945,1482,9647.53527874549
"39","S01000039",100,"Aberdeen City",942,537,25.81,1991,18.6,175,1947,11.9,64,3164,0.58,1530,0.45,2062,23.78,1708,0.68,1071,"S01000039",39,157865,4176.29135304736,"",69170,"dz01",111434.409519376,"dz01","S22000047","Aberdeen",4305.52682585139,"Aberdeen",4305.52682585139,"Aberdeen","dz01",8.478318,6.666103,4.891595,6.761477,8.083685,7.91501,6.663442,5.935733,2004,"Scotland","Aberdeen City","Aberdeen",942,175,767,4305.52682585139,4305.52682585139,NA,1708,1071,3546.5,4176.29135304736
"40","S01000040",100,"Aberdeen City",970,562,18.58,2978,13.1,127,2930,11.9,67,3162.5,0.03,3111,0.7,1481,21.34,2045,-0.71,5407,"S01000040",40,157693,11167.153938792,"",69171,"dz01",206468.355184734,"dz01","S22000047","Aberdeen",2911.92250724785,"Aberdeen",2911.92250724785,"Aberdeen","dz01",9.71714,7.558447,5.248371,7.273109,8.72817,8.240809,6.384211,5.79036,2004,"Scotland","Aberdeen City","Aberdeen",970,127,843,2911.92250724785,2911.92250724785,NA,2045,5407,1482,11167.153938792
"41","S01000041",100,"Aberdeen City",838,495,12.13,4184,8.5,71,4026,10.9,54,3448.5,-0.09,3467,-0.17,3673,6.53,5624,-0.33,4271,"S01000041",41,157732,9239.41930140692,"",69172,"dz01",433622.680465043,"dz01","S22000047","Aberdeen",2968.81253136123,"Aberdeen",2968.81253136123,"Aberdeen","dz01",9.71714,7.558447,5.248371,7.273109,8.72817,8.240809,6.384211,5.79036,2004,"Scotland","Aberdeen City","Aberdeen",838,71,767,2968.81253136123,2968.81253136123,NA,5624,4271,1482,9239.41930140692
"42","S01000042",100,"Aberdeen City",790,484,17.19,3210,12.3,97,3100,11.4,55,3311.5,0.39,2022,0.28,2521,16.2,3161,-0.65,5256,"S01000042",42,157822,6129.73078940207,"",69173,"dz01",129552.746507198,"dz01","S22000047","Aberdeen",3614.47344369003,"Aberdeen",3614.47344369003,"Aberdeen","dz01",8.882827,7.09699,5.165623,7.205681,8.644066,8.474965,6.915154,5.960507,2004,"Scotland","Aberdeen City","Aberdeen",790,97,693,3614.47344369003,3614.47344369003,NA,3161,5256,2874.5,6129.73078940207
