"","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"3517",2012,"Scotland","Glasgow City","Glasgow",728,80,648,2289.35646250028,2289.35646250028,3057,451,6206,537.5,29041.71197558
"3518",2012,"Scotland","Glasgow City","Glasgow",1056,320,736,6083.64517714365,5928.59108467512,1038,759,6502,263.5,9944.43501579731
"3519",2012,"Scotland","Glasgow City","Glasgow",545,165,380,2170.21111337062,2170.21111337062,555,105,5924,665.5,27718.9532731629
"3520",2012,"Scotland","Glasgow City","Glasgow",729,80,649,3739.88103728028,3739.88103728028,5094,1080,6473,886.5,20667.8805341258
"3521",2012,"Scotland","Glasgow City","Glasgow",597,30,567,3046.92132563989,3046.92132563989,600,131,6204,572.5,25320.0441496041
"3522",2012,"Scotland","Glasgow City","Glasgow",883,50,833,3369.64314232683,3369.64314232683,3678,573,6046,572.5,23165.0117616181
"3523",2012,"Scotland","Glasgow City","Glasgow",622,165,457,5926.0707701813,5926.0707701813,1049,51,3853,1951,2970.07561345677
"3524",2012,"Scotland","Glasgow City","Glasgow",1042,70,972,4878.82593280836,4878.82593280836,2624,2027,5151,480,13318.7937189015
"3525",2012,"Scotland","Glasgow City","Glasgow",999,70,929,4481.51245615659,4481.51245615659,4199,897,6011,886.5,15207.8282971167
"3526",2012,"Scotland","Glasgow City","Glasgow",946,60,886,2784.95918133962,2784.95918133962,1773,1581,5472,537.5,26362.7215014312
"3527",2012,"Scotland","Glasgow City","Glasgow",859,45,814,5413.88090167898,5413.88090167898,3677,3504,3906,480,11105.8373045742
"3528",2012,"Scotland","Glasgow City","Glasgow",617,90,527,6924.13409914506,6924.13409914506,4533,959,3129,2547.5,2428.24498648914
"3529",2012,"Scotland","Glasgow City","Glasgow",722,55,667,2805.39024892517,2805.39024892517,4514,2169,4716,450.5,12080.9700278975
"3530",2012,"Scotland","Glasgow City","Glasgow",843,55,788,2443.09341347105,2443.09341347105,3553,353,5291,537.5,26744.6203452457
"3531",2012,"Scotland","Glasgow City","Glasgow",846,255,591,6442.43426539984,5790.67119547994,205,107,6485,2.5,8228.60083050954
"3532",2012,"Scotland","Glasgow City","Glasgow",993,115,878,5782.84457800199,5782.84457800199,3680,4421,5925,263.5,10808.0960287842
"3533",2012,"Scotland","Glasgow City","Glasgow",689,50,639,3403.68903362363,3403.68903362363,2239,373,3986,363,8071.21507970186
"3534",2012,"Scotland","Glasgow City","Glasgow",1053,185,868,2348.71597024272,2348.71597024272,1092,1099,6205,282,16809.7728092785
"3535",2012,"Scotland","Glasgow City","Glasgow",802,160,642,6297.38254646961,5845.12221386528,1445,542,6460,263.5,8855.62074725573
"3536",2012,"Scotland","Glasgow City","Glasgow",1105,30,1075,4102.67809934828,4102.67809934828,4332,3340,6500,886.5,17593.9973702244
"3537",2012,"Scotland","Glasgow City","Glasgow",836,205,631,2445.2391028838,2445.2391028838,3085,616,5802,537.5,25548.6502959674
"3538",2012,"Scotland","Glasgow City","Glasgow",639,180,459,4124.35092797349,4124.35092797349,2461,561,4467,363,5267.59362887563
"3539",2012,"Scotland","Glasgow City","Glasgow",961,45,916,4805.92490680371,4805.92490680371,5204,2875,4523,886.5,13316.7726030641
"3540",2012,"Scotland","Glasgow City","Glasgow",466,125,341,2147.14136757139,2147.14136757139,581,41,4481,665.5,24738.6919885479
"3541",2012,"Scotland","Glasgow City","Glasgow",967,235,732,3298.29627540135,3298.29627540135,356,498,3942,450.5,8727.45525183778
"3542",2012,"Scotland","Glasgow City","Glasgow",693,55,638,3741.45021077563,3741.45021077563,2826,1961,6294,572.5,19705.7367259531
"3543",2012,"Scotland","Glasgow City","Glasgow",807,260,547,2207.85316078024,2207.85316078024,913,281,5728,665.5,22514.5817742101
"3544",2012,"Scotland","Glasgow City","Glasgow",516,25,491,2879.18407459655,2879.18407459655,4676,2604,4645,537.5,23721.2285199011
"3545",2012,"Scotland","Glasgow City","Glasgow",971,30,941,3606.18292985917,3606.18292985917,4281,1442,5921,572.5,20380.5419097776
"3546",2012,"Scotland","Glasgow City","Glasgow",1028,370,658,2146.01815846274,2146.01815846274,1657,476,5033,368,19483.3901963106
"3547",2012,"Scotland","Glasgow City","Glasgow",735,85,650,2625.56998437297,2625.56998437297,2527,652,4929,537.5,23820.5566485579
"3548",2012,"Scotland","Glasgow City","Glasgow",241,30,211,3425.19553071473,3425.19553071473,112,365,4143,450.5,8102.7561810043
"3549",2012,"Scotland","Glasgow City","Glasgow",807,285,522,3134.13041222452,3134.13041222452,1573,173,2982,450.5,9875.49156467892
"3550",2012,"Scotland","Glasgow City","Glasgow",738,55,683,4881.59574362079,4881.59574362079,5642,3184,2008,522,3575.29188541622
"3551",2012,"Scotland","Glasgow City","Glasgow",750,195,555,2942.8033677173,2942.8033677173,924,141,4435,450.5,11322.6048571147
"3552",2012,"Scotland","Glasgow City","Glasgow",911,35,876,4321.96894853308,4321.96894853308,5122,1492,5957,886.5,15928.3047444215
"3553",2012,"Scotland","Glasgow City","Glasgow",641,250,391,2526.80399973945,2526.80399973945,1941,375,4456,665.5,20199.1146637063
"3554",2012,"Scotland","Glasgow City","Glasgow",752,45,707,2886.33353249133,2886.33353249133,5143,793,4581,537.5,22541.3950105055
"3555",2012,"Scotland","Glasgow City","Glasgow",747,25,722,3218.11537415821,3218.11537415821,1559,1766,4646,572.5,20999.8775991337
"3556",2012,"Scotland","Glasgow City","Glasgow",823,30,793,6141.5571463675,6141.5571463675,2660,5463,5986,263.5,8995.11526902615
"3557",2012,"Scotland","Glasgow City","Glasgow",890,315,575,3599.21525632077,3599.21525632077,682,58,4438,363,7273.16435924614
"3558",2012,"Scotland","Glasgow City","Glasgow",984,35,949,4198.99351440001,4198.99351440001,3824,4914,6380,886.5,16556.8934785954
"3559",2012,"Scotland","Glasgow City","Glasgow",1121,45,1076,6504.84486483097,5943.56204907034,2319,5292,6461,263.5,7841.73014618485
"3560",2012,"Scotland","Glasgow City","Glasgow",1131,50,1081,4828.08285598591,4828.08285598591,4128,4590,3661,480,13170.2967491057
"3561",2012,"Scotland","Glasgow City","Glasgow",1181,355,826,2699.40523153274,2699.40523153274,1418,599,4924,665.5,20427.408875589
