"","Data.Zone","Local.Authority.Code","Local.Authority.Name","Nearest.settlement.","Total.Population..SAPE.2004.","Working.Age.Population..men.16.64..women.16.59.SAPE.2004.","SIMD.2006.Score","SIMD.2006.Rank","Current.Income.domain.2006.rate","Number.of.Current.Income.Deprived.People.2006","Current.Income.domain.2006.rank","Employment.domain.2006.rate","Number.of.Employment.Deprived.People.2006","Employment.domain.2006.rank","Health.domain.2006.score","Health.domain.2006.rank","Education..Skills.and.Training.domain.2006.score","Education..Skills.and.Training.domain.2006.rank","Housing.domain.score.2004.and.2006","Housing.domain.rank.2004.and.2006","Geographic.Access.domain.2006.score","Geographic.Access.domain.2006.rank","SIMD.Crime.2006.Score","SIMD.Crime.2006.rank","zone","X.x","accessA","accessB","type.x","X.y","type.y","area","zone_type","ttwa11cd","ttwa11nm","main_dist","main_bua","nearest_dist","nearest_bua","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"1037","S01001037",170,"Dumfries & Galloway","Dumfries",843,466,36.08,1146,21.5,181,1395,23.2,108,945.5,0.61,1571,0.7,1495,25.48,1533,13.67,3616,1791,200,"S01001037",1037,24582,1725.16849839431,"",70168,"dz01",489862.859770825,"dz01","S22000055","Dumfries",2606.33308425314,"Dumfries",2606.33308425314,"Dumfries","dz01",7.706378,6.227632,5.028334,6.159301,7.636487,6.774948,5.637102,5.679542,2006,"Scotland","Dumfries & Galloway","Dumfries",843,181,662,2606.33308425314,2606.33308425314,200,1533,3616,4826.5,1725.16849839431
"1038","S01001038",170,"Dumfries & Galloway","Locharbriggs",951,596,9.05,4899,3.3,31,5670,5,30,5391.5,-0.52,4599,-0.37,4186,5.12,5875,45.06,792,168,5152,"S01001038",1038,25054,1794.83837488227,"",70169,"dz01",4245766.77999862,"dz01","S22000055","Dumfries",2882.55191743397,"Dumfries",2882.55191743397,"Dumfries","dz01",8.482213,6.59161425,5.35855925,6.56710425,7.7581485,6.656223,5.59802325,5.6340655,2006,"Scotland","Dumfries & Galloway","Dumfries",951,31,920,2882.55191743397,2882.55191743397,5152,5875,792,4117,1794.83837488227
"1039","S01001039",170,"Dumfries & Galloway","Dumfries",551,344,17.05,3226,6.4,35,4593,11.9,41,2959,-0.18,3716,-0.91,5502,11.48,4492,80.14,106,NA,6208,"S01001039",1039,23039,35.4109623198369,"",70170,"dz01",64881335.6035047,"dz01","S22000055","Dumfries",9792.97037921017,"Dumfries",9792.97037921017,"Dumfries","dz01",6.99827970149254,5.83324023880597,4.62667391044776,5.30376143283582,6.72789197014925,5.93250186567164,4.82115750746269,5.18148725373134,2006,"Scotland","Dumfries & Galloway","Dumfries",551,35,516,9792.97037921017,9792.97037921017,6208,4492,106,5564,35.4109623198369
"1040","S01001040",170,"Dumfries & Galloway","Locharbriggs",558,310,16.24,3385,10.9,61,3349,11,34,3237.5,-0.49,4488,-0.52,4577,16.31,3139,54.36,511,NA,6333,"S01001040",1040,26526,309.549992671674,"",70171,"dz01",15257993.4658518,"dz01","S22000055","Dumfries",5317.24422674836,"Dumfries",5317.24422674836,"Dumfries","dz01",7.5641895,6.0816938125,4.9243688125,5.8990011875,7.266111,6.5745315,5.4892591875,5.543587625,2006,"Scotland","Dumfries & Galloway","Dumfries",558,61,497,5317.24422674836,5317.24422674836,6333,3139,511,5110,309.549992671674
"1041","S01001041",170,"Dumfries & Galloway","Dumfries",556,364,8.45,5030,2.9,16,5831,4.1,15,5801.5,-1.31,6128,-0.79,5246,4.62,5975,56.48,454,432,2858,"S01001041",1041,24152,491.358432880841,"",70172,"dz01",11474832.4241782,"dz01","S22000055","Dumfries",4473.77312802806,"Dumfries",4473.77312802806,"Dumfries","dz01",7.11588127272727,5.901559,4.68150318181818,5.55386336363636,6.97248172727273,6.31633581818182,5.19845836363636,5.34408027272727,2006,"Scotland","Dumfries & Galloway","Dumfries",556,16,540,4473.77312802806,4473.77312802806,2858,5975,454,5456,491.358432880841
"1042","S01001042",170,"Dumfries & Galloway","Locharbriggs",920,614,7.26,5339,1.6,15,6314,2.3,14,6377,-0.84,5374,-0.27,3918,5.55,5794,50.81,613,NA,6374,"S01001042",1042,26242,1695.7489416683,"",70173,"dz01",200706.466639801,"dz01","S22000055","Dumfries",3663.48306732147,"Dumfries",3663.48306732147,"Dumfries","dz01",9.377221,7.028084,5.685794,7.056914,8.003549,6.669373,5.647914,5.657158,2006,"Scotland","Dumfries & Galloway","Dumfries",920,15,905,3663.48306732147,3663.48306732147,6374,5794,613,3315,1695.7489416683
"1043","S01001043",170,"Dumfries & Galloway","Locharbriggs",669,442,8.11,5106,2.4,16,6040,4.3,19,5728,-0.52,4579,-0.09,3432,13.45,3936,36.16,1205,NA,6022,"S01001043",1043,26089,1773.94250102302,"",70174,"dz01",130201.188786857,"dz01","S22000055","Dumfries",3490.82142840525,"Dumfries",3490.82142840525,"Dumfries","dz01",9.473965,7.101048,5.744322,7.381139,8.148093,6.715969,6.285354,5.911783,2006,"Scotland","Dumfries & Galloway","Dumfries",669,16,653,3490.82142840525,3490.82142840525,6022,3936,1205,3163.5,1773.94250102302
"1044","S01001044",170,"Dumfries & Galloway","Moniaive",981,523,11.71,4322,7.3,72,4289,9.6,50,3666,-0.83,5349,-0.85,5382,15.69,3303,38.88,1058,173,5082,"S01001044",1044,677,79.8318077791723,"",70175,"dz01",127178012.025477,"dz01","S22000055","Dumfries",35648.0171612763,"Dumfries",35648.0171612763,"Dumfries","dz01",6.76885990551181,5.86085351181102,4.57418127559055,5.17876221259842,6.47906988188976,5.66309211811024,4.50471702362205,4.9819525984252,2006,"Scotland","Dumfries & Galloway","Dumfries",981,72,909,35648.0171612763,35648.0171612763,5082,3303,1058,5527,79.8318077791723
"1045","S01001045",170,"Dumfries & Galloway","Locharbriggs",693,413,7.95,5148,3,21,5759.5,4.6,19,5592,-0.6,4794,-0.03,3264,12.18,4288,30.71,1627,72,6040,"S01001045",1045,26154,1703.39993760352,"",70176,"dz01",124222.905042085,"dz01","S22000055","Dumfries",3673.19309519368,"Dumfries",3673.19309519368,"Dumfries","dz01",9.473965,7.101048,5.744322,7.381139,8.148093,6.715969,6.285354,5.911783,2006,"Scotland","Dumfries & Galloway","Dumfries",693,21,672,3673.19309519368,3673.19309519368,6040,4288,1627,3163.5,1703.39993760352
"1046","S01001046",170,"Dumfries & Galloway","Locharbriggs",606,363,14.34,3738,10.4,63,3472,9.4,34,3731,0.18,2724,-0.2,3727,14.63,3569,17.93,2991,264,4219,"S01001046",1046,24622,1463.14615625227,"",70177,"dz01",3720983.0408197,"dz01","S22000055","Dumfries",3127.71095086076,"Dumfries",3127.71095086076,"Dumfries","dz01",9.29224633333333,7.00649833333333,6.27142633333333,7.96816166666667,8.94850833333333,6.97806533333333,6.03683833333333,5.769886,2006,"Scotland","Dumfries & Galloway","Dumfries",606,63,543,3127.71095086076,3127.71095086076,4219,3569,2991,3356,1463.14615625227
