"","Data.Zone","Local.Authority.Code","Local.Authority.Name","Nearest.settlement.","Total.Population..SAPE.2004.","Working.Age.Population..men.16.64..women.16.59.SAPE.2004.","SIMD.2006.Score","SIMD.2006.Rank","Current.Income.domain.2006.rate","Number.of.Current.Income.Deprived.People.2006","Current.Income.domain.2006.rank","Employment.domain.2006.rate","Number.of.Employment.Deprived.People.2006","Employment.domain.2006.rank","Health.domain.2006.score","Health.domain.2006.rank","Education..Skills.and.Training.domain.2006.score","Education..Skills.and.Training.domain.2006.rank","Housing.domain.score.2004.and.2006","Housing.domain.rank.2004.and.2006","Geographic.Access.domain.2006.score","Geographic.Access.domain.2006.rank","SIMD.Crime.2006.Score","SIMD.Crime.2006.rank","zone","X.x","accessA","accessB","type.x","X.y","type.y","area","zone_type","ttwa11cd","ttwa11nm","main_dist","main_bua","nearest_dist","nearest_bua","type","year2004","year2006","year2007","year2009","year2010","year2012","year2015","year2016","year","country","la","ttwa","pop","inc.n","noninc.n","dist_main","dist_nearest","crime","live.in","geo","pm25","work"
"2903","S01002903",250,"Fife","Glenrothes",904,543,33.93,1289,27.2,246,831,21.4,116,1174,0.28,2456,0.68,1548,16.8,3010,12.83,3769,697,1651,"S01002903",2903,68804,1316.59930477077,"",72034,"dz01",145151.620999862,"dz01","S22000057","Dunfermline and Kirkcaldy",10813.0852012893,"Kirkcaldy",3014.32136878999,"Glenrothes","dz01",8.145966,6.772803,5.165545,6.073722,7.746408,7.023027,5.849484,5.979587,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",904,246,658,10813.0852012893,3014.32136878999,1651,3010,3769,3789.5,1316.59930477077
"2904","S01002904",250,"Fife","Glenrothes",686,453,10.96,4489,8.7,60,3917,9.3,42,3757,-0.13,3603,-0.47,4451,9.84,4921,8.18,4659,219,4617,"S01002904",2904,65324,1938.48779964503,"",72035,"dz01",242380.945860125,"dz01","S22000057","Dunfermline and Kirkcaldy",10559.016440543,"Kirkcaldy",2530.30859449023,"Glenrothes","dz01",8.655234,7.200391,5.566726,6.637058,8.27217,7.490605,6.114634,6.712933,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",686,60,626,10559.016440543,2530.30859449023,4617,4921,4659,2946,1938.48779964503
"2905","S01002905",250,"Fife","Glenrothes",774,483,16.64,3299,11,85,3338,9.5,46,3674.5,-0.34,4110,0.45,2119,13.29,3977.5,15.87,3276,956,889,"S01002905",2905,68557,1619.36151366123,"",72036,"dz01",278910.374342838,"dz01","S22000057","Dunfermline and Kirkcaldy",10775.6331717954,"Kirkcaldy",2654.16825585248,"Glenrothes","dz01",8.145966,6.772803,5.165545,6.073722,7.746408,7.023027,5.849484,5.979587,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",774,85,689,10775.6331717954,2654.16825585248,889,3977.5,3276,3789.5,1619.36151366123
"2906","S01002906",250,"Fife","Glenrothes",875,571,21.07,2599,14.2,124,2585,14.4,82,2366,0.09,2979,0.29,2496,15.38,3381,17.8,3011,697,1654,"S01002906",2906,63271,3627.7558222067,"",72037,"dz01",832617.881316307,"dz01","S22000057","Dunfermline and Kirkcaldy",10737.8642907113,"Kirkcaldy",1157.21929087377,"Glenrothes","dz01",9.134846,9.63858,7.522301,7.371038,9.075805,8.243832,6.67928,7.068601,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",875,124,751,10737.8642907113,1157.21929087377,1654,3381,3011,214.5,3627.7558222067
"2907","S01002907",250,"Fife","Glenrothes",634,374,15.72,3480,10.7,68,3393,10.7,40,3311,-0.32,4080,0.18,2765,10,4879,16.25,3223,726,1558,"S01002907",2907,65246,2154.43376905567,"",72038,"dz01",188988.370337673,"dz01","S22000057","Dunfermline and Kirkcaldy",10699.8433691335,"Kirkcaldy",2290.82555590334,"Glenrothes","dz01",8.655234,7.200391,5.566726,6.637058,8.27217,7.490605,6.114634,6.712933,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",634,68,566,10699.8433691335,2290.82555590334,1558,4879,3223,2946,2154.43376905567
"2908","S01002908",250,"Fife","Buckhaven",853,485,6.84,5454,3.2,27,5709,6.6,32,4733,-0.88,5432,-1.01,5659,1.4,6449,23.5,2276,399,3074,"S01002908",2908,59713,1595.08749217611,"",72039,"dz01",901737.591039458,"dz01","S22000057","Dunfermline and Kirkcaldy",14607.1259608938,"Kirkcaldy",10801.7416746335,"Glenrothes","dz01",8.103821,6.625464,5.646946,6.492099,8.296288,7.118883,5.599309,5.883658,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",853,27,826,14607.1259608938,10801.7416746335,3074,6449,2276,4061,1595.08749217611
"2909","S01002909",250,"Fife","Buckhaven",697,464,25.38,2041,15.2,106,2361,19.2,89,1457,0.41,2078,-0.02,3240,10.64,4720,18.24,2945,904,983,"S01002909",2909,63068,809.900565045633,"",72040,"dz01",359355.933738119,"dz01","S22000057","Dunfermline and Kirkcaldy",12616.7153549941,"Kirkcaldy",7510.33502398888,"Glenrothes","dz01",7.883419,6.522152,5.108139,6.646796,8.158298,8.325678,7.145381,6.570518,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",697,106,591,12616.7153549941,7510.33502398888,983,4720,2945,4255,809.900565045633
"2910","S01002910",250,"Fife","Buckhaven",888,517,37.84,1030,25.1,223,1010,24.2,125,836,0.46,1942,0.72,1452,12.44,4216,38.11,1095,619,1940,"S01002910",2910,60976,1624.83786134374,"",72041,"dz01",174571.065037757,"dz01","S22000057","Dunfermline and Kirkcaldy",14281.8460184599,"Kirkcaldy",10167.9280195803,"Glenrothes","dz01",8.241933,6.752446,6.232067,7.461711,9.358098,7.72051,6.201522,6.297066,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",888,223,665,14281.8460184599,10167.9280195803,1940,4216,1095,3821,1624.83786134374
"2911","S01002911",250,"Fife","Buckhaven",891,538,29.94,1591,18.6,166,1808,18.4,99,1600,0.46,1963,0.91,1059,13.99,3761,25.45,2096,539,2292,"S01002911",2911,62466,955.934131440281,"",72042,"dz01",207205.987503509,"dz01","S22000057","Dunfermline and Kirkcaldy",13019.1011568704,"Kirkcaldy",8021.50792541443,"Glenrothes","dz01",7.678443,6.460932,5.146813,6.565848,7.85436,7.407559,6.217354,6.170592,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",891,166,725,13019.1011568704,8021.50792541443,2292,3761,2096,4389.5,955.934131440281
"2912","S01002912",250,"Fife","Glenrothes",1164,793,10.36,4601,4.6,53,5191,7.7,61,4301,-0.4,4264,-1.03,5697,3.88,6115,41.17,951,335,3549,"S01002912",2912,67829,2162.98246349722,"",72043,"dz01",965888.519969939,"dz01","S22000057","Dunfermline and Kirkcaldy",11038.7732696421,"Kirkcaldy",1979.02558949216,"Glenrothes","dz01",8.28604,6.865513,5.129088,6.116293,7.772779,7.333958,5.903222,6.01895,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",1164,53,1111,11038.7732696421,1979.02558949216,3549,6115,951,3595,2162.98246349722
"2913","S01002913",250,"Fife","Glenrothes",757,518,7.71,5214,2.9,22,5817,7.1,37,4505.5,-0.71,5073,-0.79,5267,4.95,5903,29.44,1736,264,4176,"S01002913",2913,65980,2973.30990384456,"",72044,"dz01",307947.807707444,"dz01","S22000057","Dunfermline and Kirkcaldy",10851.9436005674,"Kirkcaldy",1326.34900493988,"Glenrothes","dz01",8.601573,7.088964,5.36699,6.348751,7.912502,7.136466,5.556916,6.116602,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",757,22,735,10851.9436005674,1326.34900493988,4176,5903,1736,3182,2973.30990384456
"2914","S01002914",250,"Fife","Glenrothes",687,409,37.56,1051,25.3,174,983,20.8,85,1251,0.92,960,0.72,1456,21.43,2032.5,13.71,3609,1514,318,"S01002914",2914,62950,3365.67090545283,"",72045,"dz01",124523.529270678,"dz01","S22000057","Dunfermline and Kirkcaldy",10856.6853326631,"Kirkcaldy",1288.34132738916,"Glenrothes","dz01",8.696867,7.465195,5.701635,6.458847,7.925978,7.393504,5.670959,6.387539,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",687,174,513,10856.6853326631,1288.34132738916,318,2032.5,3609,2505,3365.67090545283
"2915","S01002915",250,"Fife","Glenrothes",976,675,25.94,1973,19,185,1755,16.7,113,1909,0.52,1811,0.21,2705,16.52,3089,16.78,3134,645,1840,"S01002915",2915,63355,2738.6748888601,"",72046,"dz01",184749.315260474,"dz01","S22000057","Dunfermline and Kirkcaldy",11127.1429726616,"Kirkcaldy",1506.13118589417,"Glenrothes","dz01",8.696867,7.465195,5.701635,6.458847,7.925978,7.393504,5.670959,6.387539,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",976,185,791,11127.1429726616,1506.13118589417,1840,3089,3134,2505,2738.6748888601
"2916","S01002916",250,"Fife","Buckhaven",832,480,40.77,877,26.2,218,916,27.5,132,526.5,0.62,1554,0.92,1038,18.99,2495,20.78,2615,397,3081,"S01002916",2916,62456,882.005668881133,"",72047,"dz01",234642.515467012,"dz01","S22000057","Dunfermline and Kirkcaldy",13377.7035070636,"Kirkcaldy",8219.6207615874,"Glenrothes","dz01",7.678443,6.460932,5.146813,6.565848,7.85436,7.407559,6.217354,6.170592,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",832,218,614,13377.7035070636,8219.6207615874,3081,2495,2615,4389.5,882.005668881133
"2917","S01002917",250,"Fife","Anstruther",626,360,5.77,5748,5.8,36,4774,6.1,22,4917,-1.23,6021,-0.74,5146,7,5523,6.81,4936,224,4551,"S01002917",2917,9844,379.536336971699,"",72048,"dz01",254745.134488154,"dz01","S22000078","St Andrews and Cupar",14655.8184539918,"St Andrews",14655.8184539918,"St Andrews","dz01",7.054885,5.986801,4.850278,5.389304,7.209707,6.610442,5.458983,5.477839,2006,"Scotland","Fife","St Andrews and Cupar",626,36,590,14655.8184539918,14655.8184539918,4551,5523,4936,5274,379.536336971699
"2918","S01002918",250,"Fife","Lundin Links",762,368,10.6,4558,6.7,51,4482,8.4,31,4029.5,-0.82,5324,-1.9,6427,5.85,5743,39.82,1003,354,3388,"S01002918",2918,44557,335.412842097743,"",72049,"dz01",626169.771415082,"dz01","S22000078","St Andrews and Cupar",17227.9635596629,"St Andrews",3390.86956230462,"Leven","dz01",7.4873155,6.2504935,5.0712365,5.630313,7.370313,6.5290425,5.2156895,5.4983805,2006,"Scotland","Fife","St Andrews and Cupar",762,51,711,17227.9635596629,3390.86956230462,3388,5743,1003,4783,335.412842097743
"2919","S01002919",250,"Fife","Glenrothes",879,527,42.1,801,29.9,263,622,23.7,125,889,0.82,1130,0.55,1876,19.37,2418,32.78,1454,1138,611,"S01002919",2919,64041,2133.30471228632,"",72050,"dz01",173271.893930494,"dz01","S22000057","Dunfermline and Kirkcaldy",11458.7733166607,"Kirkcaldy",1869.00891659903,"Glenrothes","dz01",8.601573,7.088964,5.36699,6.348751,7.912502,7.136466,5.556916,6.116602,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",879,263,616,11458.7733166607,1869.00891659903,611,2418,1454,3182,2133.30471228632
"2920","S01002920",250,"Fife","Anstruther",611,347,15.52,3531,13.3,81,2791,12.7,44,2774,-0.33,4100,-0.08,3409,20.5,2199,5.28,5267,213,4668,"S01002920",2920,9760,411.389278533038,"",72051,"dz01",223561.584905628,"dz01","S22000078","St Andrews and Cupar",14586.2787972961,"St Andrews",14586.2787972961,"St Andrews","dz01",NA,6.001437,4.822142,5.182009,6.986475,6.181619,5.057383,5.226442,2006,"Scotland","Fife","St Andrews and Cupar",611,81,530,14586.2787972961,14586.2787972961,4668,2199,5267,5240,411.389278533038
"2921","S01002921",250,"Fife","Lundin Links",740,405,13.12,4002,7.4,55,4262,8.9,36,3882.5,-0.99,5652,-0.62,4845,10.19,4820,52.96,548,378,3206,"S01002921",2921,35011,261.956400079333,"",72052,"dz01",246237.150532922,"dz01","S22000078","St Andrews and Cupar",16653.7239916364,"St Andrews",4159.32372690785,"Leven","dz01",7.503472,6.238949,5.046719,5.542113,7.295559,6.338712,5.098554,5.431064,2006,"Scotland","Fife","St Andrews and Cupar",740,55,685,16653.7239916364,4159.32372690785,3206,4820,548,4800.5,261.956400079333
"2922","S01002922",250,"Fife","Buckhaven",548,360,28.43,1720,15.5,85,2305,24.2,87,840,0.02,3192,0.27,2554,11.96,4337,20.37,2659,894,1026,"S01002922",2922,62862,702.356369433938,"",72053,"dz01",214724.470448089,"dz01","S22000057","Dunfermline and Kirkcaldy",13334.9337270699,"Kirkcaldy",7770.23195950626,"Glenrothes","dz01",7.683042,6.432328,5.059345,6.37048,7.949211,7.845877,6.50892,6.275106,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",548,85,463,13334.9337270699,7770.23195950626,1026,4337,2659,4441,702.356369433938
"2923","S01002923",250,"Fife","St Monans",670,381,18.39,3018,11.8,79,3143,13.4,51,2597.5,0.04,3140,-0.8,5289,14.14,3714,30.51,1644,881,1052,"S01002923",2923,11392,238.358157752647,"",72054,"dz01",7876844.73971168,"dz01","S22000078","St Andrews and Cupar",14930.0226320381,"St Andrews",14422.658511128,"Leven","dz01",7.07771885714286,5.99811757142857,4.78637971428571,5.59361814285714,7.38072142857143,7.312939,6.04740728571429,5.72726585714286,2006,"Scotland","Fife","St Andrews and Cupar",670,79,591,14930.0226320381,14422.658511128,1052,3714,1644,5248,238.358157752647
"2924","S01002924",250,"Fife","Elie",697,400,13.61,3892,9.6,67,3651,9,36,3856,-0.7,5054,-0.47,4455,10.16,4834,46.39,745,143,5371,"S01002924",2924,21299,94.6032595309672,"",72055,"dz01",18518998.3856703,"dz01","S22000078","St Andrews and Cupar",13779.0686820121,"St Andrews",9897.57583868003,"Leven","dz01",7.10217616666667,6.00102173684211,4.79184984210526,5.48062842105263,7.28412363157895,7.00270773684211,5.70833689473684,5.59186036842105,2006,"Scotland","Fife","St Andrews and Cupar",697,67,630,13779.0686820121,9897.57583868003,5371,4834,745,5241,94.6032595309672
"2925","S01002925",250,"Fife","Glenrothes",1084,695,17.02,3230,8.9,97,3841,10.4,72,3405,0.13,2900,-0.2,3712,14.91,3498,41.43,934,517,2406,"S01002925",2925,65304,1940.5829792214,"",72056,"dz01",2785027.78567596,"dz01","S22000057","Dunfermline and Kirkcaldy",11553.1815389314,"Kirkcaldy",2127.99271746717,"Glenrothes","dz01",8.561288,7.404122,5.598406,6.803426,7.950246,7.383569,5.771855,7.115717,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",1084,97,987,11553.1815389314,2127.99271746717,2406,3498,934,2618,1940.5829792214
"2926","S01002926",250,"Fife","Glenrothes",793,506,29.91,1595,20.4,162,1535,17.6,89,1747,0.31,2385,0.13,2883,13.06,4049,43.32,865,1185,566,"S01002926",2926,66559,1772.82461449046,"",72057,"dz01",193781.628963068,"dz01","S22000057","Dunfermline and Kirkcaldy",11611.589648445,"Kirkcaldy",2169.31767927763,"Glenrothes","dz01",8.601573,7.088964,5.36699,6.348751,7.912502,7.136466,5.556916,6.116602,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",793,162,631,11611.589648445,2169.31767927763,566,4049,865,3182,1772.82461449046
"2927","S01002927",250,"Fife","Glenrothes",796,509,32.9,1366,22,175,1335,22.8,116,998,0.56,1706,0.11,2942,13.54,3909,39.11,1046,377,3210,"S01002927",2927,65482,1806.29906623753,"",72058,"dz01",510430.867055096,"dz01","S22000057","Dunfermline and Kirkcaldy",11663.5592931219,"Kirkcaldy",2209.97015375368,"Glenrothes","dz01",8.696867,7.465195,5.701635,6.458847,7.925978,7.393504,5.670959,6.387539,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",796,175,621,11663.5592931219,2209.97015375368,3210,3909,1046,2505,1806.29906623753
"2928","S01002928",250,"Fife","Lundin Links",581,330,7.04,5400,2.8,16,5886,5.8,19,5067,-1.67,6398,-1.74,6371,2.85,6290,49.8,640,86,5911,"S01002928",2928,38026,283.917255693191,"",72059,"dz01",196678.700834211,"dz01","S22000078","St Andrews and Cupar",16632.4825278371,"St Andrews",3983.27090671707,"Leven","dz01",7.503472,6.238949,5.046719,5.542113,7.295559,6.338712,5.098554,5.431064,2006,"Scotland","Fife","St Andrews and Cupar",581,16,565,16632.4825278371,3983.27090671707,5911,6290,640,4800.5,283.917255693191
"2929","S01002929",250,"Fife","Buckhaven",782,511,30.86,1521,18.4,144,1843,18.6,95,1567,0.56,1708,0.71,1481,14.86,3517,38.45,1081,614,1960,"S01002929",2929,62962,562.922395895612,"",72060,"dz01",136269.516460288,"dz01","S22000057","Dunfermline and Kirkcaldy",13396.41563741,"Kirkcaldy",7571.86928511919,"Glenrothes","dz01",7.574811,6.35956,5.082817,6.547358,8.184116,8.370917,6.837362,6.435771,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",782,144,638,13396.41563741,7571.86928511919,1960,3517,1081,4588,562.922395895612
"2930","S01002930",250,"Fife","Glenrothes",652,432,12.07,4243,7.8,51,4151,8.3,36,4064,-0.5,4520,-0.59,4761,5.13,5873,39.82,1001,184,4935,"S01002930",2930,63658,1828.5982724975,"",72061,"dz01",327005.881649191,"dz01","S22000057","Dunfermline and Kirkcaldy",11711.4073353954,"Kirkcaldy",2088.42128469261,"Glenrothes","dz01",8.098878,6.920981,5.192065,6.171155,7.76826,7.48527,5.985761,6.280465,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",652,51,601,11711.4073353954,2088.42128469261,4935,5873,1001,3515.5,1828.5982724975
"2931","S01002931",250,"Fife","Buckhaven",915,589,29.18,1662,18.6,170,1817,17.1,101,1828,0.38,2163,0.73,1425,13.62,3888,33.38,1407,754,1434,"S01002931",2931,62264,575.711285149099,"",72062,"dz01",146803.180346216,"dz01","S22000057","Dunfermline and Kirkcaldy",13872.3955656286,"Kirkcaldy",8176.73297358127,"Glenrothes","dz01",7.537021,6.356797,5.048629,6.680765,8.105827,8.325238,6.849492,6.435121,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",915,170,745,13872.3955656286,8176.73297358127,1434,3888,1407,4596,575.711285149099
"2932","S01002932",250,"Fife","Glenrothes",781,556,8.36,5053,2,16,6164.5,4.3,24,5717,-0.95,5573,-0.55,4651,4.41,6006,57.47,435,192,4820,"S01002932",2932,67473,1307.8600532406,"",72063,"dz01",277292.931598304,"dz01","S22000057","Dunfermline and Kirkcaldy",11905.1697185402,"Kirkcaldy",2601.80703405292,"Glenrothes","dz01",7.751816,6.494205,4.932796,5.812117,7.504674,7.118812,5.730094,5.900961,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",781,16,765,11905.1697185402,2601.80703405292,4820,6006,435,4317,1307.8600532406
"2933","S01002933",250,"Fife","Anstruther",920,544,12.66,4096,9.5,87,3684,9.7,53,3612,-0.48,4469,-0.14,3563,16.63,3061,9.17,4443,522,2391,"S01002933",2933,9518,612.684888813764,"",72064,"dz01",355813.468130773,"dz01","S22000078","St Andrews and Cupar",14417.7476071968,"St Andrews",14417.7476071968,"St Andrews","dz01",7.076742,6.007018,5.143336,5.642688,7.572148,6.655229,5.463072,5.53358,2006,"Scotland","Fife","St Andrews and Cupar",920,87,833,14417.7476071968,14417.7476071968,2391,3061,4443,5223.5,612.684888813764
"2934","S01002934",250,"Fife","Glenrothes",898,599,29.65,1614,19.9,179,1611,17,102,1854,0.47,1922,0.55,1878,10.91,4636,40.74,966,612,1965,"S01002934",2934,65543,1552.99068315327,"",72065,"dz01",265484.236689984,"dz01","S22000057","Dunfermline and Kirkcaldy",11842.8599269959,"Kirkcaldy",2336.19934266411,"Glenrothes","dz01",7.907911,6.669305,5.060586,5.893984,7.517444,6.892384,5.458776,5.931341,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",898,179,719,11842.8599269959,2336.19934266411,1965,4636,966,3939,1552.99068315327
"2935","S01002935",250,"Fife","Glenrothes",835,523,21.11,2590,13.7,114,2703,13.8,72,2495,-0.12,3547,-0.13,3557,9.78,4940,36.83,1162,922,952,"S01002935",2935,68081,1219.3084848139,"",72066,"dz01",14830231.8289068,"dz01","S22000057","Dunfermline and Kirkcaldy",11104.6986360298,"Kirkcaldy",3034.16484002428,"Glenrothes","dz01",7.49336476923077,6.313721,4.85049069230769,5.68503892307692,7.36906161538462,6.96362430769231,5.61640069230769,5.71065084615385,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",835,114,721,11104.6986360298,3034.16484002428,952,4940,1162,4686,1219.3084848139
"2936","S01002936",250,"Fife","Glenrothes",766,542,5.77,5749,1.3,10,6400,4.1,22,5831,-1.11,5853,-1.09,5776,0.42,6499,44.36,818,104,5743,"S01002936",2936,64827,1307.10362464997,"",72067,"dz01",188705.818769757,"dz01","S22000057","Dunfermline and Kirkcaldy",12142.9812223935,"Kirkcaldy",2520.18555687979,"Glenrothes","dz01",8.098878,6.920981,5.192065,6.171155,7.76826,7.48527,5.985761,6.280465,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",766,10,756,12142.9812223935,2520.18555687979,5743,6499,818,3515.5,1307.10362464997
"2937","S01002937",250,"Fife","Anstruther",638,382,8.73,4971,4.9,31,5073.5,8.6,33,3954,-1.03,5705,-0.46,4428,15.58,3329,10.6,4163,517,2352,"S01002937",2937,9358,622.777205723704,"",72068,"dz01",107256.436078309,"dz01","S22000078","St Andrews and Cupar",14515.7386060239,"St Andrews",14515.7386060239,"St Andrews","dz01",NA,5.980482,4.892562,5.329564,7.131193,6.43049,5.283385,5.441566,2006,"Scotland","Fife","St Andrews and Cupar",638,31,607,14515.7386060239,14515.7386060239,2352,3329,4163,5288,622.777205723704
"2938","S01002938",250,"Fife","Anstruther",793,455,24.53,2132,22.8,181,1239,13,59,2711,0.02,3187,0.23,2658,19.82,2333,3.75,5615,1286,481,"S01002938",2938,9364,711.913217261181,"",72069,"dz01",216465.491937514,"dz01","S22000078","St Andrews and Cupar",14348.0452234458,"St Andrews",14348.0452234458,"St Andrews","dz01",7.076742,6.007018,5.143336,5.642688,7.572148,6.655229,5.463072,5.53358,2006,"Scotland","Fife","St Andrews and Cupar",793,181,612,14348.0452234458,14348.0452234458,481,2333,5615,5223.5,711.913217261181
"2939","S01002939",250,"Fife","Glenrothes",567,355,9.08,4886,4.2,24,5301.5,6.5,23,4782.5,-1.37,6189,-1.08,5761,10.81,4661,53.78,527,141,5386,"S01002939",2939,64121,373.779759607637,"",72070,"dz01",12627332.6096373,"dz01","S22000057","Dunfermline and Kirkcaldy",12319.4900281813,"Kirkcaldy",4527.18077003646,"Glenrothes","dz01",7.68300369230769,6.55044107692308,5.05917269230769,6.19738907692308,7.76785523076923,7.72166746153846,6.33418761538462,6.51590446153846,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",567,24,543,12319.4900281813,4527.18077003646,5386,4661,527,4194,373.779759607637
"2940","S01002940",250,"Fife","Anstruther",628,342,15.26,3575,10.2,64,3533.5,12.9,44,2733,-0.01,3281,-0.42,4323,13.86,3810,18.73,2873,287,3967,"S01002940",2940,9255,435.850878787467,"",72071,"dz01",281206.322574492,"dz01","S22000078","St Andrews and Cupar",14358.8291374725,"St Andrews",14358.8291374725,"St Andrews","dz01",7.057981,6.000424,4.865535,5.7759,7.528584,7.618258,6.437401,5.914552,2006,"Scotland","Fife","St Andrews and Cupar",628,64,564,14358.8291374725,14358.8291374725,3967,3810,2873,5243,435.850878787467
"2941","S01002941",250,"Fife","Lundin Links",955,552,14.3,3754,7.4,71,4260,8.9,49,3889,-0.55,4679,-0.64,4877,8.99,5133,60.2,386,387,3139,"S01002941",2941,33548,155.720493543334,"",72072,"dz01",35744268.683697,"dz01","S22000078","St Andrews and Cupar",15480.990687449,"St Andrews",5281.03643224326,"Leven","dz01",7.2369581875,6.11726590625,4.87546403125,5.7815863125,7.49932021875,7.37306425,6.040718625,5.83186740625,2006,"Scotland","Fife","St Andrews and Cupar",955,71,884,15480.990687449,5281.03643224326,3139,5133,386,5053,155.720493543334
"2942","S01002942",250,"Fife","Anstruther",601,374,10.74,4530,8,48,4106.5,8.8,33,3908,-0.46,4410,-0.69,5022,16.72,3041,19.53,2771,250,4308,"S01002942",2942,9938,340.594087753173,"",72073,"dz01",8506096.6939429,"dz01","S22000078","St Andrews and Cupar",14260.8895932602,"St Andrews",14260.8895932602,"St Andrews","dz01",7.05081785714286,5.97575285714286,4.75276,5.688833,7.45728971428571,7.64362,6.43191957142857,5.85289828571429,2006,"Scotland","Fife","St Andrews and Cupar",601,48,553,14260.8895932602,14260.8895932602,4308,3041,2771,5292,340.594087753173
"2943","S01002943",250,"Fife","Freuchie",555,346,10.09,4667,6.1,34,4667,9,31,3869,-1.05,5752,-0.5,4527,11.32,4535.5,31.73,1557,90,5901,"S01002943",2943,59500,254.095639320601,"",72074,"dz01",4039795.87758051,"dz01","S22000057","Dunfermline and Kirkcaldy",15393.4368825897,"Kirkcaldy",5831.85611626619,"Glenrothes","dz01",7.570568,6.313187,4.84781933333333,5.937483,7.61719266666667,7.50692333333333,6.16449166666667,6.004924,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",555,34,521,15393.4368825897,5831.85611626619,5901,4535.5,1557,4691,254.095639320601
"2944","S01002944",250,"Fife","Anstruther",931,563,10.42,4590,6.7,62,4497,9.8,55,3603,-0.53,4617,-0.65,4912,12.18,4287,10.58,4173,580,2103,"S01002944",2944,9394,611.766480754436,"",72075,"dz01",14596198.2975869,"dz01","S22000078","St Andrews and Cupar",13991.7710381735,"St Andrews",13991.7710381735,"St Andrews","dz01",7.02787314285714,5.96857871428571,4.7549855,5.67505471428571,7.40894771428571,7.54758385714286,6.27216742857143,5.80785907142857,2006,"Scotland","Fife","St Andrews and Cupar",931,62,869,13991.7710381735,13991.7710381735,2103,4287,4173,5306,611.766480754436
"2945","S01002945",250,"Fife","Freuchie",682,360,9,4910,4.7,32,5132,7.5,27,4379.5,-0.84,5359,-0.95,5565,8.44,5252.5,33.45,1402,337,3534,"S01002945",2945,59932,253.992283108868,"",72076,"dz01",1843329.34292047,"dz01","S22000057","Dunfermline and Kirkcaldy",15250.4795273065,"Kirkcaldy",5749.67921434065,"Glenrothes","dz01",7.70526333333333,6.41670566666667,4.99800466666667,6.328509,7.92621266666667,7.975752,6.63934666666667,6.24727233333333,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",682,32,650,15250.4795273065,5749.67921434065,3534,5252.5,1402,4484,253.992283108868
"2946","S01002946",250,"Fife","Buckhaven",838,529,13.59,3894,6,50,4710,10,53,3502,-0.72,5089,-0.86,5406,11.9,4354.5,62.24,354,251,4321,"S01002946",2946,45130,68.7910222182248,"",72077,"dz01",42411541.4047258,"dz01","S22000057","Dunfermline and Kirkcaldy",18357.6233986895,"Kirkcaldy",12058.6845082966,"Glenrothes","dz01",7.40428680851064,6.21882723404255,4.89851612765957,6.06367725531915,7.70742114893617,7.7826104893617,6.41847155319149,6.13708295744681,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",838,50,788,18357.6233986895,12058.6845082966,4321,4354.5,354,4851,68.7910222182248
"2947","S01002947",250,"Fife","Falkland",638,388,10.86,4501,4.9,31,5073.5,6.7,26,4690.5,-0.54,4645,-0.98,5629,10.31,4805,49.61,645,455,2709,"S01002947",2947,58602,285.895877462338,"",72078,"dz01",19391047.9879566,"dz01","S22000057","Dunfermline and Kirkcaldy",16196.2143054098,"Kirkcaldy",6744.10274174662,"Glenrothes","dz01",7.381383,6.138488,4.76381831818182,5.55503736363636,7.26707454545455,6.78593354545455,5.45518990909091,5.57968713636364,2006,"Scotland","Fife","Dunfermline and Kirkcaldy",638,31,607,16196.2143054098,6744.10274174662,2709,4805,645,5012,285.895877462338
